Program to calculate energy of water
Input NAME of configuration file
Thread 0 processed npair 99970
Thread 5 processed npair 58291
Thread 11 processed npair 8084
Thread 10 processed npair 16497
Thread 11 processed npair 8083
Thread 4 processed npair 66616
Thread 6 processed npair 49944
Thread 7 processed npair 41613
Thread 11 processed npair 8082
Thread 10 processed npair 16496
Thread 2 processed npair 83305
Thread 9 processed npair 24912
Thread 8 processed npair 33247
Thread 11 processed npair 8081
Thread 11 processed npair 8080
Thread 3 processed npair 74959
Thread 10 processed npair 16495
Thread 11 processed npair 8079
Thread 9 processed npair 24911
Thread 1 processed npair 91634
Thread 11 processed npair 8078
Thread 10 processed npair 16494
Thread 5 processed npair 58290
Thread 7 processed npair 41612
Thread 8 processed npair 33246
Thread 11 processed npair 8077
Thread 6 processed npair 49943
Thread 11 processed npair 8076
Thread 9 processed npair 24910
Thread 10 processed npair 16493
Thread 11 processed npair 8075
Thread 4 processed npair 66615
Thread 11 processed npair 8074
Thread 10 processed npair 16492
Thread 8 processed npair 33245
Thread 9 processed npair 24909
Thread 11 processed npair 8073
Thread 7 processed npair 41611
Thread 2 processed npair 83304
Thread 0 processed npair 99969
Thread 11 processed npair 8072
Thread 10 processed npair 16491
Thread 3 processed npair 74958
Thread 11 processed npair 8071
Thread 5 processed npair 58289
Thread 6 processed npair 49942
Thread 9 processed npair 24908
Thread 10 processed npair 16490
Thread 11 processed npair 8070
Thread 8 processed npair 33244
Thread 11 processed npair 8069
Thread 10 processed npair 16489
Thread 11 processed npair 8068
Thread 7 processed npair 41610
Thread 1 processed npair 91633
Thread 9 processed npair 24907
Thread 4 processed npair 66614
Thread 11 processed npair 8067
Thread 10 processed npair 16488
Thread 11 processed npair 8066
Thread 8 processed npair 33243
Thread 6 processed npair 49941
Thread 11 processed npair 8065
Thread 5 processed npair 58288
Thread 9 processed npair 24906
Thread 10 processed npair 16487
Thread 11 processed npair 8064
Thread 7 processed npair 41609
Thread 3 processed npair 74957
Thread 2 processed npair 83303
Thread 11 processed npair 8063
Thread 10 processed npair 16486
Thread 8 processed npair 33242
Thread 11 processed npair 8062
Thread 9 processed npair 24905
Thread 11 processed npair 8061
Thread 10 processed npair 16485
Thread 0 processed npair 99968
Thread 11 processed npair 8060
Thread 4 processed npair 66613
Thread 6 processed npair 49940
Thread 11 processed npair 8059
Thread 9 processed npair 24904
